Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,# of Delays.Carrier,# of Delays.Late Aircraft,# of Delays.National Aviation System,# of Delays.Security,# of Delays.Weather,Statistics.Carriers.Names,Carriers.Total,Flights.Cancelled,Flights.Delayed,Flights.Diverted,Flights.On Time,Flights.Total,Minutes Delayed.Carrier,Minutes Delayed.Late Aircraft,Minutes Delayed.National Aviation System,Minutes Delayed.Security,Minutes Delayed.Total,Minutes Delayed.Weather,Rate,Ratio_Rank
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/06,1,June,2003,3,3,3,3,3,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",0,2,3,2,3,3,3,3,3,3,3,3,0.7975382568196939,2.0
BOS,"Boston, MA: Logan International",2003/06,1,June,2003,1,1,2,1,2,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",2,2,1,0,2,1,1,1,1,1,1,1,0.8169934640522876,1.0
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/06,1,June,2003,0,1,0,3,2,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",0,0,0,1,1,1,0,1,1,3,0,2,0.8444551707493665,1.0
CLT,"Charlotte, NC: Charlotte Douglas International",2003/06,1,June,2003,0,1,2,0,1,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",0,1,1,1,1,1,0,0,1,1,1,1,0.8098039215686275,1.0
DCA,"Washington, DC: Ronald Reagan Washington National",2003/06,1,June,2003,0,0,1,1,1,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",2,1,0,2,0,0,0,0,1,1,0,1,0.816981421771841,1.0
DEN,"Denver, CO: Denver International",2003/06,1,June,2003,2,0,1,3,2,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",2,0,1,2,2,2,1,0,1,3,1,2,0.8574116842015226,1.0
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003/06,1,June,2003,3,3,3,3,3,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",2,3,3,3,3,3,3,3,3,3,3,3,0.8072607499638048,1.0
DTW,"Detroit, MI: Detroit Metro Wayne County",2003/06,1,June,2003,1,0,1,2,2,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",0,1,1,1,2,2,1,0,1,1,0,1,0.8700867789688617,1.0
EWR,"Newark, NJ: Newark Liberty International",2003/06,1,June,2003,0,1,3,3,3,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",2,1,2,3,2,2,1,1,3,3,2,3,0.7549176395330242,2.0
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/06,1,June,2003,0,0,1,2,1,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",0,0,0,1,0,0,0,0,1,1,0,0,0.7876447876447876,2.0
IAD,"Washington, DC: Washington Dulles International",2003/06,1,June,2003,0,0,1,1,2,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",2,1,0,3,1,1,0,0,2,2,1,2,0.834659698301461,1.0
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/06,1,June,2003,0,2,3,3,3,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",1,1,2,3,3,3,1,2,3,3,2,3,0.8157674747604655,1.0
JFK,"New York, NY: John F. Kennedy International",2003/06,1,June,2003,1,0,0,3,0,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",0,0,0,1,0,0,1,0,0,3,0,0,0.8125649013499481,1.0
LAS,"Las Vegas, NV: McCarran International",2003/06,1,June,2003,2,2,1,3,2,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",1,0,1,0,2,2,1,1,1,3,1,1,0.8351900671825836,1.0
LAX,"Los Angeles, CA: Los Angeles International",2003/06,1,June,2003,3,2,2,3,2,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",1,1,2,1,3,3,2,2,2,3,2,2,0.8547286317842054,1.0
LGA,"New York, NY: LaGuardia",2003/06,1,June,2003,0,0,2,1,2,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",0,1,1,2,1,1,0,0,2,2,1,2,0.8038841490794791,1.0
MCO,"Orlando, FL: Orlando International",2003/06,1,June,2003,1,1,1,1,1,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",1,0,1,1,1,1,0,1,1,0,0,1,0.8154128922147827,1.0
MDW,"Chicago, IL: Chicago Midway International",2003/06,1,June,2003,0,0,0,3,1,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,Southwest Airlines Co.",0,0,0,0,1,0,0,0,0,3,0,1,0.8578105084265685,1.0
MIA,"Miami, FL: Miami International",2003/06,1,June,2003,0,0,1,0,2,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",0,0,0,2,0,0,0,0,1,1,0,1,0.7642857142857142,2.0
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003/06,1,June,2003,1,0,2,3,3,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",0,1,1,1,2,2,1,0,1,3,1,2,0.8532064949975398,1.0
ORD,"Chicago, IL: Chicago O'Hare International",2003/06,1,June,2003,3,3,3,3,3,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",1,3,3,3,3,3,3,2,3,3,3,3,0.8278522934260639,1.0
PDX,"Portland, OR: Portland International",2003/06,1,June,2003,0,0,0,3,0,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.",0,0,0,0,0,0,0,0,0,3,0,0,0.8512431521281079,1.0
PHL,"Philadelphia, PA: Philadelphia International",2003/06,1,June,2003,0,1,2,0,2,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",1,1,2,2,1,1,0,1,2,0,1,1,0.76270812658507,2.0
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003/06,1,June,2003,2,1,1,3,1,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",1,0,1,1,3,3,1,1,1,3,1,1,0.8679326099371788,1.0
SAN,"San Diego, CA: San Diego International",2003/06,1,June,2003,0,0,0,3,0,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",1,0,0,0,1,0,0,0,0,2,0,0,0.8429426361115165,1.0
SEA,"Seattle, WA: Seattle/Tacoma International",2003/06,1,June,2003,1,1,1,3,1,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",1,1,1,1,2,1,1,1,0,3,1,1,0.8282500540774389,1.0
SFO,"San Francisco, CA: San Francisco International",2003/06,1,June,2003,1,0,2,3,2,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",0,1,1,1,2,2,1,0,2,3,1,1,0.8063439065108514,1.0
SLC,"Salt Lake City, UT: Salt Lake City International",2003/06,1,June,2003,1,0,0,3,1,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.",0,0,0,0,2,2,0,0,0,3,0,0,0.8969003969003969,1.0
TPA,"Tampa, FL: Tampa International",2003/06,1,June,2003,0,0,1,1,1,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",0,0,0,1,0,0,0,0,1,1,0,1,0.7880022218107757,2.0
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/07,1,July,2003,3,3,3,3,3,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",0,3,3,3,3,3,3,3,3,3,3,3,0.740663967611336,2.0
BOS,"Boston, MA: Logan International",2003/07,1,July,2003,1,1,1,0,2,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",2,2,1,0,2,2,2,1,2,0,1,2,0.8055555555555556,1.0
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/07,1,July,2003,1,2,1,1,3,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",0,0,1,2,1,1,0,2,2,1,1,3,0.7960747880617814,2.0
CLT,"Charlotte, NC: Charlotte Douglas International",2003/07,1,July,2003,0,1,2,0,2,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",0,2,1,2,1,1,0,1,2,0,1,2,0.7677635248187396,2.0
DCA,"Washington, DC: Ronald Reagan Washington National",2003/07,1,July,2003,0,0,1,1,2,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",2,2,0,1,0,0,0,0,2,1,1,2,0.782823002240478,2.0
DEN,"Denver, CO: Denver International",2003/07,1,July,2003,2,1,1,0,3,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",2,1,1,1,2,2,2,1,2,1,1,2,0.855692017005196,1.0
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003/07,1,July,2003,3,3,3,3,3,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",2,3,3,3,3,3,3,3,3,3,3,3,0.8114253433605197,1.0
DTW,"Detroit, MI: Detroit Metro Wayne County",2003/07,1,July,2003,1,1,2,1,3,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",1,2,1,2,2,2,2,1,2,1,2,3,0.8287401574803149,1.0
EWR,"Newark, NJ: Newark Liberty International",2003/07,1,July,2003,1,2,3,3,3,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",2,3,2,3,2,2,1,2,3,3,3,3,0.7502680349211212,2.0
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/07,1,July,2003,0,0,1,2,1,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",0,0,0,0,0,0,0,0,1,2,0,1,0.7810565414775072,2.0
IAD,"Washington, DC: Washington Dulles International",2003/07,1,July,2003,1,0,2,3,2,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",2,2,1,1,1,1,1,1,2,3,1,3,0.795402822030041,2.0
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/07,1,July,2003,1,3,3,3,3,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",1,1,3,3,3,3,1,2,3,2,2,3,0.8057934049918017,1.0
JFK,"New York, NY: John F. Kennedy International",2003/07,1,July,2003,0,0,1,3,1,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",0,0,0,2,0,0,1,0,1,3,0,1,0.8165995165189364,1.0
LAS,"Las Vegas, NV: McCarran International",2003/07,1,July,2003,2,2,1,3,3,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",2,1,2,3,2,2,2,2,2,2,2,3,0.8260691463214812,1.0
LAX,"Los Angeles, CA: Los Angeles International",2003/07,1,July,2003,3,2,1,3,3,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",1,2,2,1,3,3,3,2,1,2,2,3,0.8686188131640321,1.0
LGA,"New York, NY: LaGuardia",2003/07,1,July,2003,0,1,2,0,3,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",0,3,2,3,1,1,1,1,3,0,2,2,0.754465246395524,2.0
MCO,"Orlando, FL: Orlando International",2003/07,1,July,2003,1,1,2,1,2,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",1,0,1,1,1,1,1,1,2,0,1,1,0.7678793919760778,2.0
MDW,"Chicago, IL: Chicago Midway International",2003/07,1,July,2003,0,1,1,3,2,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,Southwest Airlines Co.",0,1,1,3,0,0,0,2,2,3,1,3,0.7747636662556514,2.0
MIA,"Miami, FL: Miami International",2003/07,1,July,2003,0,0,1,1,1,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",1,0,0,2,0,0,1,0,1,1,1,1,0.7508778774873196,2.0
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003/07,1,July,2003,2,1,2,2,3,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",0,2,2,1,2,2,2,1,2,2,2,3,0.8378210116731517,1.0
ORD,"Chicago, IL: Chicago O'Hare International",2003/07,1,July,2003,3,3,3,3,3,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",1,3,3,3,3,3,3,3,3,2,3,3,0.7239751156484288,2.0
PDX,"Portland, OR: Portland International",2003/07,1,July,2003,0,0,0,2,0,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.",0,0,0,0,0,0,0,0,0,2,0,0,0.8518740031897927,1.0
PHL,"Philadelphia, PA: Philadelphia International",2003/07,1,July,2003,1,2,2,0,2,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",1,2,2,2,1,1,0,2,3,0,2,2,0.7352437981180496,2.0
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003/07,1,July,2003,2,2,1,3,2,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",1,1,2,2,3,3,2,2,1,2,2,2,0.8589868147120056,1.0
SAN,"San Diego, CA: San Diego International",2003/07,1,July,2003,1,0,0,1,1,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",1,0,0,1,1,0,0,0,0,1,0,1,0.8323812177790163,1.0
SEA,"Seattle, WA: Seattle/Tacoma International",2003/07,1,July,2003,2,2,1,3,2,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",1,1,1,0,2,2,1,1,1,3,1,2,0.8257606084867894,1.0
SFO,"San Francisco, CA: San Francisco International",2003/07,1,July,2003,1,0,1,3,2,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",0,1,1,0,2,2,1,0,1,2,1,2,0.8556269198547891,1.0
SLC,"Salt Lake City, UT: Salt Lake City International",2003/07,1,July,2003,1,0,0,3,2,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.",0,0,0,1,2,2,1,0,0,3,0,1,0.8938230994152047,1.0
TPA,"Tampa, FL: Tampa International",2003/07,1,July,2003,0,0,1,1,1,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",0,0,0,1,0,0,0,1,1,1,0,1,0.7930174563591023,2.0
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/08,2,August,2003,3,3,3,3,3,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",0,3,3,3,3,3,3,3,3,3,3,3,0.7364957674492892,2.0
BOS,"Boston, MA: Logan International",2003/08,2,August,2003,2,2,2,0,3,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",2,3,2,1,1,2,2,2,2,0,2,2,0.7419712070874862,2.0
