Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,# of Delays.Carrier,# of Delays.Late Aircraft,# of Delays.National Aviation System,# of Delays.Security,# of Delays.Weather,Statistics.Carriers.Names,Carriers.Total,Flights.Cancelled,Flights.Delayed,Flights.Diverted,Flights.On Time,Flights.Total,Minutes Delayed.Carrier,Minutes Delayed.Late Aircraft,Minutes Delayed.National Aviation System,Minutes Delayed.Security,Minutes Delayed.Total,Minutes Delayed.Weather,Rate,Ratio_Rank
DTW,"Detroit, MI: Detroit Metro Wayne County",2014/09,2,September,2014,0,0,0,0,0,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",1,1,0,3,2,1,1,0,0,2,0,0,0.8654211880523548,1.0
EWR,"Newark, NJ: Newark Liberty International",2014/09,2,September,2014,1,1,2,0,1,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",0,1,1,1,1,1,1,1,2,0,1,0,0.7804398148148148,2.0
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2014/09,2,September,2014,0,0,0,0,0,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",0,0,0,0,0,0,0,0,0,0,0,0,0.817220172201722,1.0
IAD,"Washington, DC: Washington Dulles International",2014/09,2,September,2014,0,0,0,0,0,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.",0,0,0,2,0,0,0,0,0,0,0,0,0.8081120032942145,1.0
IAH,"Houston, TX: George Bush Intercontinental/Houston",2014/09,2,September,2014,2,2,2,0,2,"American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.",0,2,2,3,2,2,2,2,3,0,2,2,0.8068265955871464,1.0
JFK,"New York, NY: John F. Kennedy International",2014/09,2,September,2014,0,0,2,2,1,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America",0,0,1,1,1,1,1,0,2,2,1,0,0.8085234818302547,1.0
LAS,"Las Vegas, NV: McCarran International",2014/09,2,September,2014,2,2,1,2,2,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",1,0,1,2,2,2,2,2,1,2,1,2,0.8364365256124722,1.0
LAX,"Los Angeles, CA: Los Angeles International",2014/09,2,September,2014,3,3,2,2,2,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",2,2,2,1,3,3,3,3,2,2,2,1,0.8419675860108047,1.0
LGA,"New York, NY: LaGuardia",2014/09,2,September,2014,0,0,1,0,1,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",0,2,1,1,1,1,1,0,1,0,1,0,0.8183838147585077,1.0
MCO,"Orlando, FL: Orlando International",2014/09,2,September,2014,1,0,1,0,0,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",0,0,0,2,1,1,1,0,0,0,0,0,0.8295543393275997,1.0
MDW,"Chicago, IL: Chicago Midway International",2014/09,2,September,2014,0,1,2,0,2,"Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,SkyWest Airlines Inc.,Southwest Airlines Co.",0,3,1,3,0,1,0,1,2,0,1,2,0.7482121171231952,2.0
MIA,"Miami, FL: Miami International",2014/09,2,September,2014,0,0,0,0,0,"American Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.",0,0,0,2,0,0,1,0,0,1,0,0,0.8544782119311787,1.0
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2014/09,2,September,2014,0,0,0,0,0,"American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",0,1,0,0,2,1,1,0,0,1,0,0,0.8662298045418597,1.0
ORD,"Chicago, IL: Chicago O'Hare International",2014/09,2,September,2014,3,3,3,3,3,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",0,3,3,3,3,3,3,3,3,3,3,3,0.6955631399317406,3.0
PDX,"Portland, OR: Portland International",2014/09,2,September,2014,0,0,0,1,0,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",0,0,0,0,0,0,0,0,0,2,0,0,0.8472918157957529,1.0
PHL,"Philadelphia, PA: Philadelphia International",2014/09,2,September,2014,0,0,1,0,0,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",0,0,0,0,0,0,0,0,1,0,0,0,0.8129508759876332,1.0
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2014/09,2,September,2014,2,2,1,3,1,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",0,1,1,3,2,2,2,1,1,3,1,1,0.8471810089020771,1.0
SAN,"San Diego, CA: San Diego International",2014/09,2,September,2014,0,0,0,0,0,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",0,0,0,0,0,0,0,0,0,1,0,0,0.8397559409120102,1.0
SEA,"Seattle, WA: Seattle/Tacoma International",2014/09,2,September,2014,0,1,1,1,0,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",0,0,0,1,2,1,1,1,0,1,0,0,0.8606398969293536,1.0
SFO,"San Francisco, CA: San Francisco International",2014/09,2,September,2014,2,2,3,3,2,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",1,2,3,1,2,3,2,3,3,3,3,1,0.7372936342008507,2.0
SLC,"Salt Lake City, UT: Salt Lake City International",2014/09,2,September,2014,0,0,0,1,0,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",0,0,0,1,2,1,1,0,0,1,0,0,0.8961352657004831,1.0
