# of Delays.Carrier,# of Delays.Late Aircraft,# of Delays.National Aviation System,# of Delays.Security,# of Delays.Weather,Carriers.Total,Flights.Cancelled,Flights.Delayed,Flights.Diverted,Flights.On Time,Flights.Total,Minutes Delayed.Carrier,Minutes Delayed.Late Aircraft,Minutes Delayed.National Aviation System,Minutes Delayed.Security,Minutes Delayed.Total,Minutes Delayed.Weather
0.3015126050420168,0.2704116443029338,0.35047196002220987,0.18947368421052632,0.4032059186189889,0.5333333333333332,0.057927658417187916,0.41443053070960045,0.06108597285067874,0.7456643475309689,0.7708916769351406,0.2588229816556476,0.18574052036963581,0.1943174700481096,0.10466760961810466,0.2606280428682095,0.25321933163025917
0.0880672268907563,0.09301796679554242,0.06929483620210994,0.042105263157894736,0.08014796547472257,0.7333333333333334,0.03671471308131628,0.09988073941562313,0.006787330316742082,0.19928729000509077,0.1990030245323177,0.06659372381041065,0.0677802753169671,0.03701007502965204,0.020004041220448576,0.0640406724706679,0.05362077055419426
0.06184873949579831,0.08892426654537185,0.03642420877290394,0.09473684210526316,0.09494451294697903,0.5333333333333332,0.0070709817786238785,0.07170542635658915,0.03393665158371041,0.16952316307483456,0.1611403607034838,0.03547350777539808,0.06372838526745707,0.025609032877113958,0.056172964235199026,0.05102322455533724,0.08022261613054585
0.06319327731092436,0.08778712758699113,0.07484730705163797,0.031578947368421054,0.06535141800246609,0.5333333333333332,0.019037258634756596,0.09533392963625521,0.031674208144796386,0.17030375021211608,0.1718662484597289,0.04072539342583108,0.05364714178676892,0.0360172314991271,0.02566174984845423,0.052444298517876284,0.04882435743704708
0.057478991596638655,0.04139185808505799,0.0473070516379789,0.05263157894736842,0.07028360049321825,0.6666666666666667,0.019309219472395975,0.0608974358974359,0.04072398190045249,0.11260817919565587,0.11145961689257308,0.03612533755470715,0.025242775500609698,0.03134453669523036,0.024247322691452817,0.03898462469795766,0.05337312965955894
0.1357983193277311,0.05390038662724585,0.06696279844530816,0.12631578947368421,0.11960542540073983,0.6666666666666667,0.008430785966820776,0.09898628503279666,0.0497737556561086,0.2722212794841337,0.25646913856838804,0.09599590278424434,0.04068932081625458,0.0355741167690606,0.14265508183471406,0.06225637815958096,0.07214170272665658
0.29378151260504204,0.2965658403456902,0.23164908384230984,0.21052631578947367,0.3168927250308261,0.6666666666666667,0.10633668751699754,0.3365384615384615,0.30090497737556565,0.6889529950789072,0.7027836899294275,0.30217897383369025,0.22211350581045147,0.1472456921252182,0.1380076783188523,0.25524848273420786,0.26831239247171684
0.08873949579831933,0.06481692062770071,0.056524153248195444,0.0736842105263158,0.08631319358816276,0.5333333333333332,0.032635300516725585,0.0828861061419201,0.020361990950226245,0.2791108094349228,0.25823344908703927,0.07349846354409163,0.03994299734085534,0.023819915508349214,0.028086482117599513,0.047110910462079894,0.04539648610604244
0.07058823529411765,0.09847623379576985,0.20955024986118825,0.11578947368421053,0.14796547472256474,0.6666666666666667,0.026924122926298612,0.1966308884913536,0.09502262443438915,0.2524350924826065,0.2792931555953848,0.0659931092280473,0.0757606475972204,0.14803530258405853,0.099009900990099,0.1392970557604798,0.10210625097752984
0.0453781512605042,0.03866272458494428,0.04064408661854525,0.06315789473684211,0.0406905055487053,0.5333333333333332,0.002719608376393799,0.050983899821109124,0.022624434389140274,0.05664347530968945,0.05962249355886634,0.030407859204767667,0.027851969383107824,0.02124285352559404,0.02849060416245706,0.03032069073428995,0.02651060945727543
0.06991596638655462,0.047532408460313855,0.05685730149916712,0.042105263157894736,0.08014796547472257,0.6666666666666667,0.026652162088659233,0.07252534287418008,0.07918552036199096,0.17050738163923296,0.16483701131399126,0.04999534407300493,0.03805955896396199,0.03935391873342485,0.036775106082036775,0.052099547000610494,0.06081539022991502
0.07294117647058823,0.14646349783943596,0.14925041643531373,0.16842105263157894,0.15043156596794083,0.6000000000000001,0.023932553712265433,0.1727787716159809,0.39140271493212675,0.3625657559816732,0.3645681639968634,0.07340534500419033,0.11255674555952225,0.09034043205352027,0.1165892099414023,0.122540695556707,0.15555758302486836
0.08873949579831933,0.03183989083465999,0.036979455857856745,0.23157894736842105,0.03329223181257707,0.5333333333333332,0.005711177590426979,0.05687239117471676,0.029411764705882356,0.09136263363312404,0.09087599417497477,0.07455535897197131,0.019016557215684547,0.01985687061049882,0.13315821378056172,0.03650980130615679,0.0248292581200146
